topic_id	x	y	z
226	11.3709345	6.753334	-1.6723654
227	5.436977	0.43376112	3.5612447
228	5.855173	0.13959895	13.069031
229	-0.4001234	11.046725	7.5833354
230	-5.3949823	3.0935235	7.857362
231	3.457347	18.683615	2.301439
232	9.727758	12.773164	9.4328575
233	-5.630424	6.289251	1.7359394
234	2.4172406	0.75130254	0.8281144
235	13.955485	-1.2810587	0.96307886
236	12.190326	4.672825	12.495121
237	-5.4353976	3.1347473	7.8999305
238	3.7317328	8.0770445	13.917938
239	3.4836369	6.997175	5.359838
240	9.46807	6.2760234	6.1060767
241	4.987964	5.2758813	-2.863037
242	6.420726	-0.5385398	7.0087504
243	12.190338	4.672815	12.495148
244	-0.46617797	11.116769	7.513939
245	6.4826117	-0.6030835	7.0674763
246	8.103461	-4.2655654	2.8194056
247	9.739662	12.783222	9.443041
248	9.523702	12.609703	9.259382
249	4.237373	-5.4736	3.7682948
250	9.892957	10.444295	9.254896
251	5.855192	0.13960828	13.069017
252	0.5062216	5.1683774	10.922783
253	7.062136	12.806825	6.2054586
254	11.238287	2.2175775	17.01418
255	-2.542267	-3.3437443	2.6100564
256	-1.2965776	-7.7676334	8.614473
257	14.294648	5.5831385	6.546942
258	-1.8048309	3.6858535	-0.8197266
259	14.304232	0.6018374	5.643173
260	-2.4486806	7.2013917	5.7771945
261	-5.555541	15.231486	0.12627104
262	2.9933193	8.142234	14.568542
263	2.7572746	-3.607104	2.7839444
264	2.9943068	8.1487	14.55858
265	3.5987706	9.169083	8.177771
266	1.3994336	8.417347	3.1337867
267	-5.630493	6.2892504	1.7359476
268	4.84733	5.416189	-3.0025356
269	14.307539	5.5958853	6.5595784
270	-0.4887143	8.568814	-0.73658276
271	2.5668027	1.0449033	-0.34533677
272	7.539384	10.878068	-3.3392012
273	11.25544	2.2004123	16.996986
274	-1.8048656	3.685888	-0.8197326
275	-5.5616884	3.2637653	8.030818
276	7.010633	8.045162	0.98269683
277	-2.5149686	-2.6559575	2.9476578
278	-2.5464613	-3.0078676	2.8300116
279	0.90427214	4.9587226	10.936822
280	-5.7050176	3.4112334	8.183037
281	9.444839	6.2533035	6.0830135
282	-0.53908134	7.0147533	0.78071433
283	4.85005	5.413571	-3.0000854
284	7.535429	10.872964	-3.3491797
285	2.4509025	10.016034	-4.210527
286	4.879865	5.383886	-2.9706843
287	14.307306	8.048882	3.5452187
